user_name,rock,pop,hip hop,country,jazz,classical,electronic,metal,latin
Cameron Jordan,0,2,5,2,5,4,5,2,1
Grace Cox,3,1,2,0,2,3,5,4,1
Ellie Dubois,4,1,1,1,2,3,5,3,1
Sophia Cox,3,0,3,0,2,5,4,0,0
Riley Young,5,0,1,5,1,4,4,0,3
Noah Davis,2,1,3,0,3,4,4,5,3
Samuel Ward,5,3,4,0,3,3,2,5,1
Adrian Nguyen,2,1,2,0,5,1,0,1,1
Riley Jackson,2,1,0,4,4,3,3,4,4
Ruby Martin,2,4,5,2,0,4,2,5,3
Lily Gonzalez,5,2,5,5,1,0,0,5,4
Landon Ward,1,1,2,3,1,4,3,0,1
Athena Collins,2,1,0,1,2,4,4,3,3
Nathan Johnson,2,3,2,5,0,5,5,5,4
Jasper Wood,0,1,1,1,2,1,0,4,1
Stella Hamilton,1,0,4,0,0,4,2,3,5
Samuel Price,4,0,4,2,0,5,1,3,4
Madison Reynolds,5,3,4,0,5,2,4,4,1
Zoey Richardson,5,3,5,0,3,3,2,4,5
Charlotte Evans,3,2,2,2,3,0,1,5,1
Logan Lopez,5,0,2,5,0,1,0,5,3
Wyatt Rogers,0,5,4,3,5,1,1,3,4
Olivia Bennett,3,1,1,2,5,0,0,3,0
Caroline Walker,4,0,2,1,4,5,5,4,1
Alexander Simmons,2,3,2,2,0,0,5,1,4
Isaac Perry,5,1,0,0,1,4,0,5,4
Wyatt Howard,0,2,1,3,2,2,5,2,2
Thomas Collins,5,0,4,1,1,4,2,0,2
Grayson Smith,2,0,2,1,3,1,4,0,0
Liam Lopez,4,5,0,3,2,2,1,3,3
Henry Cruz,1,4,3,3,4,4,1,1,3
Amelia Morgan,1,3,2,3,4,5,0,1,1
Hunter Price,5,4,2,1,4,2,1,0,1
Benjamin Reyes,3,5,4,4,2,0,5,3,3
Dominic Perez,0,4,3,2,4,2,0,5,4
Scarlett Bell,1,5,5,2,1,4,4,4,3
Asher Fisher,2,2,4,3,5,1,5,2,3
Jasper Henderson,0,4,1,4,5,0,3,2,4
Isabella Clark,1,1,2,0,4,2,0,0,0
Wyatt Allen,5,1,4,1,3,5,4,5,0
Michael Cook,0,5,4,3,0,2,4,3,2
Ellie Myers,1,0,4,3,4,3,4,0,3
Ruby Sanders,3,2,5,0,5,0,0,3,2
Joseph Wood,1,5,1,0,3,4,5,0,5
William Mitchell,0,1,0,5,3,1,1,0,4
Michael Watson,1,4,1,0,1,2,5,5,2
Julian Rogers,4,1,1,2,4,2,2,3,3
William Smith,5,5,2,0,1,4,3,4,3
William Bailey,0,5,2,2,1,4,5,2,2
Olivia Russell,0,3,1,0,1,0,2,0,2
Charlotte Bell,0,3,4,2,5,2,3,1,3
Julian Davis,0,0,3,5,4,2,1,1,1
Isabella Fisher,1,2,4,0,2,5,4,2,0
David Ward,5,1,5,2,0,5,5,1,5
Dominic Russell,2,0,0,4,5,2,3,2,2
Daniel Perez,3,3,2,4,5,3,3,2,1
Victoria Ortiz,0,1,2,1,2,2,3,0,1
Wyatt Perry,5,4,5,4,4,4,2,4,1
Hazel Thompson,2,5,5,2,1,4,4,5,0
Luna Perry,4,3,3,0,0,4,3,5,1
Dylan Johnson,4,0,3,2,5,0,4,2,5
Claire Smith,3,1,0,5,5,2,5,0,0
Andrew Carter,2,1,0,1,1,3,5,5,0
Alexander Baker,0,1,2,5,4,1,4,2,3
Jack Edwards,3,5,3,0,2,2,0,0,5
Henry Morgan,0,5,3,0,5,2,3,1,2
Mia Smith,2,4,0,4,3,1,1,1,0
Grayson White,2,3,0,1,2,1,5,1,4
Iris Clark,1,1,0,0,5,3,4,4,3
Ryan Bailey,5,1,1,3,2,5,5,2,5
Mia Scott,2,3,4,4,0,0,4,3,2
Daniel Gonzalez,0,5,0,2,3,3,4,0,0
Emma Murphy,1,3,2,5,0,3,4,1,4
Grayson Patterson,4,3,2,3,5,5,4,3,5
Mia Cox,0,3,5,1,1,1,3,1,3
Ivy Gonzalez,4,1,5,0,2,2,4,3,3
Joshua Hamilton,1,3,3,2,0,0,1,0,5
Iris Wood,1,1,0,1,4,3,0,2,5
Camila Brown,2,5,2,1,4,4,4,5,3
Riley Morgan,0,3,4,2,1,3,3,5,3
Quinn Cooper,3,2,3,1,3,2,1,2,4
Natalie Lewis,0,3,0,2,2,2,0,3,0
Christopher Garcia,4,1,5,2,0,3,3,3,3
David Coleman,1,2,5,1,3,0,4,1,4
Christopher Clark,5,1,2,3,2,2,1,0,4
Ellie Perry,5,1,0,1,2,0,4,2,5
Samuel Mitchell,4,4,0,1,4,4,4,4,2
Jasper Simmons,0,3,3,5,0,4,5,1,3
Josephine Hall,3,3,4,5,5,2,3,0,0
Aiden Gutierrez,0,2,1,0,1,2,5,2,4
Samuel Long,2,5,3,1,2,3,4,5,4
Elijah Rodriguez,2,5,0,2,5,0,3,3,1
Caleb Nelson,4,0,0,1,3,0,4,2,2
Landon Patterson,4,4,5,3,3,5,4,1,3
Dominic Myers,5,1,0,0,3,4,4,1,5
Alexander Cruz,2,0,5,4,4,1,4,0,5
Grayson Bell,4,4,4,3,4,2,4,4,1
Josephine Lopez,5,0,1,2,1,5,3,2,2
Ryan Brooks,4,5,3,1,4,4,4,2,5
Caleb Stewart,5,1,0,3,4,1,2,1,3
Elizabeth Fisher,1,4,3,5,0,3,5,0,1
Cameron Murphy,3,0,4,2,4,2,5,1,0
Logan Cox,4,5,0,1,2,4,0,2,1
Thomas Gray,5,1,4,4,3,0,4,4,5
Nora Barnes,0,5,5,4,1,4,2,3,0
Avery Kim,3,0,5,5,3,3,0,2,5
Mason Walker,5,0,2,1,1,0,1,1,5
Emily Ortiz,5,1,4,2,4,1,3,0,2
Henry Thomas,4,3,1,1,0,1,1,2,5
Lucy Walker,2,4,0,0,5,0,0,4,0
Asher Nelson,5,2,4,4,5,2,0,3,1
Chloe Jones,3,2,0,4,3,0,2,5,3
Joshua Bennett,1,2,2,1,5,0,4,1,4
Grayson Brown,2,1,4,0,0,3,0,5,0
Sofia Richardson,3,2,2,3,5,0,4,1,5
Zoey Wright,2,5,0,1,5,2,5,2,4
Leo Mitchell,4,3,5,3,4,5,2,2,1
Avery Rodriguez,5,2,4,4,2,1,1,5,1
Adrian Powell,5,5,4,0,3,2,5,4,5
Iris Collins,1,2,2,2,5,1,2,1,2
Lucas Howard,4,1,2,2,3,5,4,1,5
Samuel Lopez,0,4,2,5,3,0,4,0,0
Mason Thompson,4,3,5,5,2,4,0,4,1
Leo Hernandez,5,0,5,4,0,0,2,4,1
Carter Carter,0,0,4,2,4,4,3,2,1
Cameron Nguyen,3,3,3,3,2,5,2,0,2
Wyatt Reynolds,3,2,3,5,1,0,4,2,4
Caleb Jenkins,2,1,2,4,2,0,0,5,0
Eleanor Rodriguez,3,0,5,5,1,3,1,3,4
Adrian Carter,5,0,4,3,3,4,0,5,1
Camila Williams,5,2,3,2,3,2,5,3,5
Hazel Reynolds,5,2,0,3,4,1,0,2,5
Daniel Murphy,4,3,2,4,0,3,5,1,2
Leo Stewart,5,5,0,3,1,1,0,2,3
Mason Lewis,3,5,4,3,3,3,2,5,3
Elijah Murphy,0,2,1,5,0,0,1,1,0
Avery Butler,4,0,3,1,1,2,1,5,2
Noah Robinson,4,0,1,3,5,3,2,3,0
Alexander Anderson,0,3,3,1,0,0,4,4,0
Miles Thompson,5,4,0,5,0,4,2,0,4
Harper Johnson,4,0,5,1,1,3,1,0,1
Iris Henderson,0,1,1,5,0,1,1,5,2
Henry Martinez,2,5,4,1,0,5,3,1,2
Iris Hughes,2,2,4,3,1,5,1,5,0
Cameron Lopez,0,5,0,4,4,1,3,4,0
Nathan Gonzalez,5,1,3,5,5,4,5,2,1
Christopher Patel,2,0,2,2,4,2,4,1,4
Owen Ward,3,2,5,1,0,5,0,2,0
Olivia Wood,4,5,0,2,3,3,3,4,2
Dylan Silva,2,1,3,3,4,2,1,4,3
Lucy Thompson,0,5,3,5,2,4,2,2,4
Penelope Bailey,1,3,5,5,1,1,4,1,3
Jordan Lee,3,1,4,0,1,2,2,0,5
Adrian Foster,2,0,2,0,2,1,2,1,0
Anthony Kim,0,3,1,2,1,4,0,5,4
Jackson King,2,2,4,3,3,5,1,3,3
Grace Lee,2,5,4,0,4,3,5,3,4
Victoria Cook,5,5,5,0,0,3,0,3,0
Lydia Hall,3,5,1,1,5,4,0,1,5
Amelia Jones,3,5,5,5,4,0,3,1,0
Adrian Mitchell,4,5,5,4,5,3,4,2,3
Madison Morgan,3,2,2,3,0,3,0,2,1
Charlotte Lee,3,4,4,5,4,3,0,3,4
Charles Morgan,5,4,2,3,1,2,0,5,4
Eleanor Butler,1,4,4,2,2,0,4,2,1
Henry Long,4,1,3,4,1,5,1,5,2
Andrew Jenkins,5,4,3,2,5,3,4,0,1
Aurora Simmons,5,3,1,4,3,3,1,1,5
David Nelson,4,5,0,2,2,1,4,2,3
Cora Ortiz,3,0,2,4,0,1,1,2,4
Sofia Collins,4,4,0,5,0,4,5,0,2
Elijah Garcia,0,4,1,4,0,4,5,2,2
Ruby Hall,3,5,0,2,0,0,5,2,4
Jackson Nelson,2,2,3,5,0,3,4,3,3
Ava Kelly,3,4,3,3,1,4,3,4,4
Mia Morgan,2,4,5,5,4,1,3,2,3
Abigail Williams,5,3,2,3,0,4,5,0,3
Ava Mitchell,0,4,1,0,4,3,5,2,3
Miles Sanders,3,0,5,3,1,2,3,2,4
Mason White,4,0,0,2,4,4,5,3,3
Avery Gonzalez,2,3,5,3,0,2,4,5,0
Hunter Baker,4,0,0,4,2,2,5,0,4
Athena Bell,0,0,1,1,2,2,5,2,5
Abigail Walker,4,4,0,4,4,5,1,2,1
Mia Cook,5,2,5,1,3,3,4,0,4
Asher Reynolds,0,2,1,0,3,1,2,5,5
Leo Baker,3,0,3,3,2,5,0,4,5
Christopher Cooper,5,5,3,4,2,0,5,2,0
Leo Wilson,0,5,0,4,1,5,2,2,4
Andrew Watson,5,2,4,2,0,0,3,2,4
Julian Hernandez,2,5,0,2,4,5,0,1,1
Hunter Diaz,2,4,3,0,3,2,5,2,5
Claire Hughes,2,1,5,0,1,3,5,5,3
Christopher Bailey,1,1,3,1,2,3,0,2,2
Kai Adams,3,5,4,2,1,4,3,4,4
Victoria Bennett,0,0,1,3,4,5,3,2,3
Camila Brooks,4,2,4,0,2,2,3,3,5
Grayson Baker,2,3,1,5,5,2,5,0,2
Madison Garcia,2,3,3,0,5,1,0,3,3
Lucas Walker,2,3,1,3,0,5,0,3,5
Benjamin Long,4,5,0,0,0,2,4,4,5
Landon Long,4,2,3,3,0,3,5,1,1
Lily Jackson,3,3,0,2,5,1,3,1,5
Lucas Wilson,5,1,4,3,4,0,5,4,0
Riley Williams,5,5,4,1,3,3,5,2,3
Dylan Brown,1,4,0,4,1,0,5,2,5
Hazel Dubois,1,3,1,0,5,0,2,2,2
Nora Russell,1,5,5,2,0,3,2,2,1
Jordan James,2,2,0,3,5,2,3,5,2
Isaac Coleman,1,0,0,2,0,4,1,1,5
Emily Clark,4,5,2,5,1,1,3,5,3
Avery Edwards,2,1,5,5,1,2,0,3,0
Cameron Barnes,3,4,1,1,3,0,3,3,0
Amelia Perry,4,0,3,4,3,5,1,5,5
Jack Rodriguez,3,3,0,4,4,3,0,4,0
Hunter Gonzalez,3,3,3,0,4,2,2,2,0
Grayson Coleman,3,5,5,1,3,5,5,3,5
Ava Young,2,3,3,0,2,0,2,0,5
Grayson Morgan,4,1,4,4,4,1,0,4,4
Maeve Wilson,1,0,4,1,4,0,5,3,5
Logan Adams,1,3,2,4,4,5,2,1,0
Anthony Simmons,4,0,5,1,1,5,2,5,0
Leo Brown,2,5,1,1,4,1,2,2,3
Ryan Harris,0,4,0,1,5,0,4,0,0
Zoey Baker,0,5,4,1,3,5,3,5,0
Emily Lopez,4,1,2,3,5,4,3,1,1
David Gutierrez,2,0,4,3,4,4,2,1,3
Emily Ward,2,4,5,4,4,0,0,1,1
Dominic Rogers,2,3,2,4,4,4,0,2,5
Henry Scott,1,4,4,3,2,1,2,3,0
Mia Russell,4,3,0,3,5,1,0,4,2
Grace Cook,4,5,2,2,4,0,4,1,4
Cora Morgan,0,0,0,3,0,0,1,1,5
Lydia Mitchell,1,3,0,1,4,0,0,1,0
Ethan Moore,2,3,4,4,5,5,4,2,1
Nora Smith,0,4,1,0,1,3,0,3,0
Sophia Ward,2,2,5,2,4,1,4,5,0
Dominic Gray,0,5,1,2,2,5,1,2,5
Abigail Harris,0,1,0,3,2,1,3,1,3
Ava Cooper,0,2,0,2,2,0,3,4,5
Natalie Jordan,2,4,0,4,3,1,2,0,2
Claire Cook,2,0,4,2,4,0,5,5,1
Josephine Johnson,1,3,1,1,5,2,4,4,0
Anthony Mitchell,1,3,0,1,3,3,5,5,4
Ruby Butler,2,5,2,2,0,1,0,1,3
Christopher Silva,5,3,0,1,0,5,3,3,1
Wyatt Martin,3,4,0,0,5,1,1,2,2
Maeve Cruz,5,5,3,1,5,0,0,0,5
Jack Evans,5,3,3,2,2,4,1,3,5
Emily Adams,1,3,4,3,1,0,1,2,2
Julian Sanchez,2,0,2,2,0,2,1,3,5
Savannah Ward,5,4,0,1,3,1,4,5,1
Victoria Richardson,3,1,5,1,3,0,2,3,4
Emma Butler,3,5,1,1,2,5,1,1,5
Lucy Coleman,2,4,4,1,1,4,0,0,4
Joseph Ortiz,3,4,1,4,1,2,1,0,2
Sophia Reyes,1,3,1,5,2,2,2,3,4
Kai Cox,3,0,2,3,1,3,2,2,3
Scarlett Powell,4,4,2,4,3,0,0,2,0
Thomas Bennett,5,4,5,5,3,5,0,5,0
Grace Reyes,2,0,1,0,1,4,1,3,4
Sophia Foster,5,5,2,4,4,3,0,1,2
Emma Baker,0,0,1,0,4,0,4,4,2
James Cooper,1,3,1,0,5,5,3,4,3
Lucas Scott,3,1,0,3,4,3,5,1,2
Anthony Evans,0,5,2,3,0,4,5,1,5
Kennedy Walker,2,0,4,0,4,4,1,1,4
Cora Brown,5,3,1,1,2,3,0,5,0
Camila Smith,1,5,2,4,5,2,0,4,0
Kennedy White,5,2,1,5,3,2,3,0,2
Aiden Long,4,1,5,1,2,0,1,1,5
Hazel Hall,2,2,3,1,4,5,3,0,4
Kai Reynolds,3,5,0,3,5,3,4,5,4
Jordan Fisher,1,2,2,2,5,1,3,0,3
Athena Cox,4,4,5,1,1,3,5,3,4
Nora Robinson,4,0,4,5,3,3,5,4,4
Joseph Kelly,5,5,5,4,4,3,2,3,3
Emma Walker,1,2,1,2,0,3,5,0,4
Liam Perez,2,2,0,5,5,2,4,3,2
Kennedy Cooper,3,3,2,4,2,4,3,0,0
Wyatt Stewart,1,3,4,5,5,2,2,3,3
Claire Russell,4,0,2,5,4,4,1,5,0
Joshua Kim,3,1,3,2,5,0,3,3,4
Emily Rodriguez,0,5,3,2,1,2,4,0,4
Carter Morgan,5,1,5,1,0,5,3,3,1
Samuel Moore,4,0,3,1,1,3,5,5,3
Avery Hall,0,2,2,1,2,3,2,0,1
Victoria Butler,2,4,4,1,1,1,5,0,5
Theodore Nguyen,0,2,3,1,3,0,0,1,5
Owen Davis,0,2,5,5,2,4,2,2,3
Emily Diaz,2,4,2,4,2,0,1,3,5
Jordan Howard,1,3,3,3,2,5,2,2,1
James Evans,5,1,0,0,2,3,1,5,3
Logan Henderson,4,4,3,0,4,3,4,1,5
Jackson Silva,1,4,5,2,3,2,3,4,5
Isabella Howard,3,4,4,0,4,1,0,3,3
Henry Bennett,1,1,5,1,3,3,2,1,3
Leo Watson,2,1,2,2,3,1,3,2,3
Logan Collins,2,5,2,5,1,4,4,0,4
Stella Lee,0,4,3,5,4,0,5,2,4
Stella Hughes,5,0,1,2,2,5,2,0,4
Logan Dubois,3,5,0,3,1,1,5,2,2
Caroline Gray,2,1,3,5,2,2,4,1,4
Aiden Rogers,1,2,4,0,0,4,0,0,0
Miles Henderson,5,0,1,1,5,1,5,2,2
Aiden Young,5,1,3,5,4,3,3,0,5
Eleanor Williams,1,4,3,3,2,5,2,4,1
Landon Kelly,0,5,4,5,1,4,4,4,2
James Scott,1,1,0,3,5,0,4,5,3
Dominic Green,3,5,4,5,2,1,4,2,1
Charles Parker,3,3,2,1,5,5,5,3,1
Owen Barnes,4,0,4,1,0,4,4,3,2
Lily Perez,1,0,0,0,0,5,1,5,3
Logan James,3,2,5,3,3,2,3,3,4
Andrew Murphy,0,4,1,4,5,5,5,1,3
Elijah Thomas,0,2,0,4,5,5,2,2,2
Iris Ward,1,1,2,3,3,4,5,3,2
Violet Lee,3,2,5,2,0,3,3,0,5
Hazel Wright,5,1,3,2,5,3,4,3,3
Ava Edwards,5,2,1,1,4,3,3,2,4
Grace Scott,4,0,0,0,2,2,5,4,0
Ivy Brown,2,0,4,1,3,1,2,1,1
Leo Jenkins,3,4,1,1,5,5,0,5,1
Kai Sanders,3,3,0,3,4,5,5,2,3
Mason Reyes,4,5,5,0,0,0,5,2,2
Hazel Gray,0,4,5,2,2,1,3,4,2
Benjamin Brooks,3,4,3,0,0,5,4,1,0
Lucas Gray,1,5,5,2,3,0,3,0,4
Lydia Reyes,4,5,3,4,0,1,0,3,4
Quinn Sanchez,1,2,4,2,1,4,3,3,5
Christopher Sullivan,4,4,1,4,4,1,0,2,5
Nathan Diaz,1,5,5,5,1,3,4,3,5
Wyatt Hall,1,4,4,2,5,3,4,0,5
Jasper Watson,2,2,2,5,1,0,2,4,2
Miles Perry,0,1,1,0,2,0,0,2,3
Cameron White,2,2,3,5,2,1,2,2,2
Lydia Price,4,2,1,3,0,5,2,5,0
Scarlett Perry,1,4,1,4,2,5,3,1,2
Elizabeth Thompson,5,2,5,3,2,0,4,1,3
Iris Anderson,3,3,5,0,4,3,2,4,4
Andrew Long,0,3,3,2,2,1,1,0,1
Savannah Garcia,1,4,0,1,4,5,2,5,1
Lydia Butler,2,5,0,4,3,4,1,1,1
Andrew Thomas,3,2,3,0,4,3,3,5,2
Willow Howard,5,5,5,2,5,3,5,0,4
Zoey Jenkins,4,0,1,5,4,1,5,2,2
Mason Long,4,2,5,5,2,3,1,3,5
Samuel Thompson,0,5,2,0,2,3,5,5,2
Joseph Sanders,2,4,2,1,3,2,4,2,5
Julian Brown,4,1,4,1,4,4,3,4,0
Lucas Davis,2,5,3,3,0,2,2,1,0
Jordan Gutierrez,2,2,0,2,0,0,0,5,0
Jackson Jackson,4,2,3,4,3,3,5,0,1
Michael Smith,3,4,4,3,4,0,5,3,1
Cora Lopez,2,2,2,0,5,4,3,5,2
Wyatt Moore,2,1,4,3,0,5,2,4,0
Jordan Miller,1,2,3,4,1,3,3,1,4
Grayson Ross,1,2,1,3,2,0,2,0,1
Thomas Hernandez,0,4,5,1,5,2,4,0,2
Amelia Silva,5,4,5,1,4,4,0,4,2
Elizabeth Mitchell,3,5,2,4,3,5,1,5,0
Emma Sanders,4,0,5,0,1,1,4,4,0
Michael Wood,5,1,4,0,3,1,0,5,3
Jack Diaz,1,4,5,1,1,0,1,0,3
Cora Gonzalez,4,0,2,5,0,0,2,3,5
Ivy Martin,2,4,3,4,3,2,2,4,0
Wyatt Johnson,1,4,4,2,0,5,2,2,4
Jackson Nguyen,3,1,5,3,0,0,3,3,2
Mia Perry,5,4,3,3,0,3,3,3,3
Iris King,1,4,4,4,3,4,4,3,1
Michael Howard,5,2,0,1,5,4,0,2,3
Lucy Lopez,2,2,3,3,2,2,3,3,5
Willow Ortiz,3,2,4,0,1,2,0,1,4
Lydia Ward,2,1,4,1,4,4,5,2,3
Nathan Kim,4,3,1,1,1,3,4,2,0
Aiden Ward,0,1,5,2,5,1,0,2,0
Asher Rodriguez,4,0,4,0,2,5,1,4,2
Sophia Graham,4,0,2,4,4,1,3,2,2
Elizabeth Long,5,4,4,0,5,5,0,4,3
Madison Kelly,1,5,3,4,4,3,0,5,4
Mason Adams,4,3,1,1,4,0,2,0,5
Joseph Wilson,3,1,2,5,1,1,2,3,1
Noah Jordan,5,1,4,1,2,4,4,5,1
Sofia Perry,2,1,3,2,1,5,0,3,0
Samuel Rogers,4,4,3,4,2,5,4,3,1
Kennedy Hughes,1,1,2,2,3,2,0,5,2
Asher Henderson,0,3,0,5,3,0,0,3,0
Thomas Hall,5,4,1,1,4,1,3,0,3
Miles Williams,5,2,1,4,4,4,0,0,0
Nora Powell,0,4,4,5,1,0,4,0,1
Cora Bell,3,2,0,1,0,2,1,2,1
Cora Reynolds,3,5,1,1,3,4,4,3,4
Grace Martin,0,2,1,2,0,5,1,0,2
Violet Myers,4,2,4,1,2,0,0,3,5
Henry Hall,3,2,0,3,3,5,3,1,0
Dylan Bennett,3,4,4,1,1,5,2,2,3
Asher Johnson,3,3,3,0,2,5,2,3,4
Harper Anderson,4,5,4,4,3,3,0,2,4
Adrian Rodriguez,3,5,1,3,4,2,4,2,1
Freya Powell,2,3,5,5,3,4,5,1,2
Cameron Moore,1,0,3,4,4,4,3,1,2
Ruby Kim,2,2,5,3,5,2,2,2,5
Daniel Ortiz,3,0,4,0,2,1,1,3,1
Scarlett Gonzalez,3,5,3,2,5,3,2,3,1
Kai Price,4,4,3,0,2,3,5,4,3
Jordan Russell,1,0,2,2,0,2,0,0,2
David Wilson,3,2,2,1,1,5,5,3,0
Sophia Myers,2,3,1,2,0,0,3,0,1
Daniel Walker,4,2,1,5,1,5,1,4,3
Ethan Brown,3,3,4,1,1,5,5,4,2
Henry Ortiz,2,5,2,4,1,0,3,4,3
Natalie Reynolds,5,5,0,4,1,1,1,4,0
Wyatt Collins,4,0,2,4,4,5,2,1,1
Victoria Gonzalez,3,4,2,0,5,1,3,1,5
Grayson Rogers,0,3,4,0,2,2,5,3,5
Kennedy Baker,5,4,2,0,5,4,3,5,5
Liam James,1,4,3,2,3,5,0,2,3
Harper Cook,2,3,3,5,0,1,4,3,5
Ryan Wood,1,1,0,5,2,3,3,5,1
Charlotte Bailey,2,5,1,0,0,0,1,2,0
Ellie Ward,4,3,1,1,2,5,2,1,5
Michael Powell,1,1,2,1,5,5,0,0,5
Amelia Jenkins,2,4,5,4,3,3,2,4,2
Elizabeth Miller,2,3,4,0,5,5,4,4,2
Savannah Gutierrez,3,1,2,3,0,1,1,4,4
Caroline Moore,2,1,3,1,0,1,0,2,0
Ava Johnson,1,4,3,1,1,4,3,4,1
Sofia Wood,1,2,4,0,2,1,3,5,3
Olivia Moore,2,0,0,0,5,3,2,1,0
Leo Gutierrez,1,4,4,1,2,5,5,0,4
Christopher Gray,3,3,0,4,2,1,3,5,5
Henry Powell,1,4,4,2,3,0,3,3,3
Ivy Cook,4,5,1,4,0,1,5,2,0
Ryan Cook,5,2,3,3,0,4,2,2,4
Luna Baker,3,5,1,3,3,3,2,0,1
Kennedy Young,1,2,4,0,1,3,2,3,1
Michael Brooks,5,4,0,4,1,3,0,2,2
Joshua Wilson,2,1,5,3,4,5,0,1,2
Kennedy Bell,4,3,3,3,5,0,0,2,2
Joseph Sanchez,5,2,2,5,4,3,3,5,1
Grace Martinez,5,3,5,0,5,4,2,1,4
Daniel Sanchez,5,2,4,3,0,3,1,5,3
Michael Perry,0,0,4,1,5,0,1,1,4
William Baker,4,4,0,0,0,4,5,4,4
Samuel Wilson,1,1,3,4,4,2,5,5,3
Kennedy Murphy,4,4,4,3,3,4,4,5,1
Nathan Hughes,4,0,3,3,0,4,2,1,2
Zoey Cruz,2,4,3,5,1,5,0,2,3
Lily Myers,0,3,0,4,0,4,4,4,3
Sofia Myers,0,5,2,2,2,0,2,3,5
Samuel Cooper,4,3,4,5,2,1,2,1,0
Mia Barnes,0,4,3,3,5,4,3,3,4
Stella Anderson,1,4,4,1,0,1,3,0,3
Willow Kim,0,0,5,3,2,1,3,1,1
Kennedy Silva,3,1,1,5,0,3,4,1,1
Camila Long,0,1,1,5,4,1,4,0,1
Noah Parker,3,4,2,1,5,3,1,3,4
Alexander Mitchell,3,4,0,2,1,2,4,4,0
Caroline Stewart,5,4,2,3,2,0,3,2,3
Eleanor Foster,3,4,2,5,4,5,4,4,3
David Murphy,4,0,2,0,0,5,5,3,3
Victoria Silva,2,2,5,0,2,1,2,5,5
Emily Moore,4,4,5,5,1,5,2,4,5
Zoey Miller,5,3,0,5,1,0,3,2,2
Savannah Ortiz,3,0,0,2,1,0,3,0,3
Freya Hall,2,1,1,5,3,1,1,2,1
Natalie Powell,0,0,4,1,3,0,5,3,2
Thomas Edwards,0,3,2,4,5,0,3,3,5
Scarlett Hamilton,2,4,4,0,3,4,1,2,1
Jasper Hughes,1,1,2,2,1,5,5,1,2
Kai Dubois,0,1,2,3,5,2,3,5,1
Ivy Anderson,3,3,0,1,5,0,4,0,3
Chloe Martin,0,2,5,2,1,2,2,2,3
David Fisher,5,1,1,1,3,1,4,4,1
Elizabeth Dubois,0,3,5,2,0,2,0,1,4
Ava Stewart,0,0,4,2,4,3,1,2,5
Isabella Taylor,2,3,3,5,5,3,4,3,5
Eleanor Cox,5,1,5,1,1,4,5,4,2
Harper Lee,0,0,4,0,1,3,2,1,1
Nathan Adams,3,4,5,4,2,5,3,5,1
Anthony Rodriguez,1,2,2,0,4,2,2,4,0
Emma Taylor,1,2,4,4,4,3,5,1,5
Charles Kelly,1,1,2,5,3,1,3,5,1
Penelope Bennett,3,2,0,5,1,5,0,3,4
Savannah Jenkins,1,3,1,2,4,3,3,5,1
Camila Stewart,4,2,3,0,4,1,2,3,1
Wyatt Kelly,2,1,2,3,4,1,0,4,2
Violet Gutierrez,2,0,3,5,5,1,0,5,3
Dominic Smith,3,5,4,3,1,4,3,1,5
Aurora Moore,4,2,0,5,1,1,4,5,4
Jordan Harris,2,3,5,1,5,2,3,4,0
Kai Hall,1,5,5,2,1,4,3,2,4
Sophia Taylor,2,0,5,2,4,4,2,4,3
Nora Walker,5,1,2,2,5,4,5,1,1
